2024-05-12T16:28:38,988 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-12T16:28:39,061 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 1 JPA repository interface.
2024-05-12T16:28:40,009 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2024-05-12T16:28:40,026 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2024-05-12T16:28:40,031 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-12T16:28:40,031 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-12T16:28:40,199 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-12T16:28:40,201 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2340 ms
2024-05-12T16:28:40,268 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-12T16:28:40,573 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-05-12T16:28:40,574 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-12T16:28:40,592 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2024-05-12T16:28:40,838 INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-12T16:28:40,996 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.24.Final
2024-05-12T16:28:41,000 INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-12T16:28:41,496 INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-12T16:28:41,574 WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-12T16:28:42,516 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-12T16:28:42,555 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-12T16:28:43,536 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-12T16:28:44,864 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2024-05-12T16:28:44,894 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2024-05-12T16:28:44,906 INFO  com.github.leovd100.message.service.Application - Started Application in 7.853 seconds (process running for 19.711)
2024-05-12T16:28:47,959 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-12T16:28:47,959 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-12T16:28:47,961 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-12T16:28:48,250 INFO  com.github.leovd100.message.service.infraestructureLayer.service.impl.LeadServiceImpl - Dados salvos com sucesso! ee217d6c-8d4a-40e0-a2cc-8e29e6db44b5
2024-05-12T16:28:48,278 INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-05-12T16:28:48,340 INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#2b76ecd5:0/SimpleConnection@24fbff4f [delegate=amqp://guest@127.0.0.1:5672/, localPort=61756]
2024-05-12T16:28:48,377 INFO  com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Message sent successfully to RabbitMq ee217d6c-8d4a-40e0-a2cc-8e29e6db44b5
